recall:	0.014935382245168823
FNR:	0.014935382245168822
fallout:	0.005117949970332352
TNR:	0.005117949970332343
precision:	0.014935382245168823
FDR:	0.014935382245168822
NPV:	0.005117949970332344
FOR:	0.005117949970332343
accuracy:	0.006790799999999623
BA:	0.006790799999999623
F1 score:	0.014935382245168823
FM:	0.014935382245168823
MCC:	0.020053332215500666
Jaccard index:	0.010224270410886251
LR+:	0.1792297918299632
LR-:	0.02821449238453044
informedness:	0.02005333221550059
PT:	0.04052799547784009
markedness:	0.020053332215500614
MSE:	190.5869400000177
RMSE:	2.347892852031944
MAE:	2.4205999999999097
MAPE:	40.45667071918712
SMAPE:	4.467986119557957
R2 score:	0.22872720072005645
Kendall tau:	0.07714101010100559
Spearmann rho:	0.11436360036002823
NDPM:	0.010135757575757126
DCG:	5.282491211075745
nDCG:	0.004224953882947673
MRR:	0.0006587288097040836
GMR:	3.2306339284321717
meanRank:	3.045561652148062
