recall:	0.010120100101770979
FNR:	0.010120100101770979
fallout:	0.0046141065383272445
TNR:	0.0046141065383272445
precision:	0.010120100101770979
FDR:	0.010120100101770979
NPV:	0.0046141065383272445
FOR:	0.0046141065383272445
accuracy:	0.00586455026454537
BA:	0.00586455026454537
F1 score:	0.010120100101770979
FM:	0.010120100101770979
MCC:	0.01473420664010462
Jaccard index:	0.007352416805656031
LR+:	0.07756248302085751
LR-:	0.022204119306250523
informedness:	0.01473420664010462
PT:	0.0206924831361794
markedness:	0.01473420664010462
MSE:	11.588912320486859
RMSE:	0.2920286773126172
MAE:	0.28161300075567725
MAPE:	4.13856486172866
SMAPE:	1.0512454477201085
R2 score:	0.05564903875375402
Kendall tau:	0.019201443842735266
Spearmann rho:	0.027824519376877018
NDPM:	0.009404322273069695
DCG:	1.6760692156659807
nDCG:	0.004241601696543869
MRR:	0.0007615417660941189
GMR:	0.5578437814440982
meanRank:	0.5264400346436123
